DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,WINNER,HOME_NRtg,HOME_DRB%,HOME_SRS,VISITOR_NRtg,VISITOR_DRB%,VISITOR_SRS,HOME_LAST_SEASON_W%,VISITOR_LAST_SEASON_W%,HOME_GAME,AWAY GAME,HOME_W%,VISITOR_W%,HOME_B2B,VISITOR_B2B,HOME_W%_AT_HOME,VISITOR_W%_ON_ROAD,HOME_LAST_5,VISITOR_LAST_5,VISITOR_WIN_PROB,HOME_WIN_PROB
11/2/2019,PHO,114,MEM,105,0,0.367647059,0.485294118,0.363076923,0.37745098,0.573529412,0.387692308,0.402439024,0.231707317,1,0,0.25,0.6,0,0,0.5,0.5,0.4,0.4,0.386798415,0.613201585
11/2/2019,TOR,105,MIL,115,1,1,1,1,0.740196078,0.161764706,0.733333333,0.731707317,0.707317073,1,0,0.6,0.8,1,0,0.5,0.5,0.4,0.4,0.250089766,0.749910234
11/2/2019,MIN,131,WAS,109,0,0.240196078,0.044117647,0.196410256,0.269607843,0.382352941,0.270769231,0.390243902,0.43902439,1,0,0.25,0.75,0,0,0,0.666666667,0.6,0.6,0.352354226,0.647645774
11/2/2019,CHO,93,GSW,87,0,0.029411765,0.220588235,0.038461538,0.06372549,0,0.057948718,0.695121951,0.475609756,1,0,0.2,0.4,1,0,0,0.333333333,0.6,0.6,0.51752637,0.48247363
11/2/2019,PHI,129,POR,128,0,0.348039216,0.044117647,0.391282051,0.553921569,0.911764706,0.58,0.646341463,0.62195122,1,0,0.6,1,0,0,0,1,0.4,0.4,0.518034267,0.481965733
11/3/2019,CHI,95,IND,108,1,0.544117647,0.338235294,0.533846154,0.284313725,0.205882353,0.258461538,0.585365854,0.268292683,1,0,0.4,0.333333333,0,0,0.5,0.25,0.6,0.6,0.235009839,0.764990161
11/3/2019,HOU,100,MIA,129,1,0.602941176,0.764705882,0.595897436,0.612745098,0.279411765,0.652820513,0.475609756,0.646341463,1,0,0.8,0.6,0,0,1,0.5,0.6,0.6,0.350475956,0.649524044
11/3/2019,SAC,113,NYK,92,0,0.093137255,0.544117647,0.08974359,0.294117647,0.529411765,0.332820513,0.207317073,0.475609756,1,0,0.166666667,0.166666667,0,0,0.5,0,0.6,0.6,0.709035939,0.290964061
11/3/2019,LAL,103,SAS,96,0,0.37254902,0.676470588,0.404102564,0.794117647,0.647058824,0.831282051,0.585365854,0.451219512,1,0,0.8,0.8,0,0,1,0.5,0.4,0.4,0.530371029,0.469628971
11/3/2019,DAL,131,CLE,111,0,0,0.441176471,0,0.730392157,0.352941176,0.749230769,0.231707317,0.402439024,1,0,0.4,0.6,0,0,1,1,0.4,0.4,0.790981154,0.209018846
11/3/2019,UTA,94,LAC,105,1,0.700980392,0.411764706,0.739487179,0.637254902,0.735294118,0.655897436,0.585365854,0.609756098,1,0,0.666666667,0.666666667,0,0,1,0.333333333,0.6,0.6,0.257089194,0.742910806
11/4/2019,DET,99,WAS,115,1,0.240196078,0.044117647,0.196410256,0.308823529,0.220588235,0.255897436,0.390243902,0.5,1,0,0.2,0.428571429,0,0,0,0.333333333,0.6,0.6,0.351575606,0.648424394
11/4/2019,NOP,125,BRK,135,1,0.411764706,0.426470588,0.396923077,0.362745098,0.514705882,0.435897436,0.512195122,0.402439024,1,0,0.333333333,0.166666667,0,0,0.5,0,0.6,0.6,0.414591827,0.585408173
11/4/2019,HOU,107,MEM,100,0,0.367647059,0.485294118,0.363076923,0.612745098,0.279411765,0.652820513,0.402439024,0.646341463,1,0,0.2,0.5,0,1,0.333333333,0.333333333,0.4,0.4,0.720511408,0.279488592
11/4/2019,MIL,134,MIN,106,0,0.269607843,0.382352941,0.270769231,1,1,1,0.43902439,0.731707317,1,0,0.8,0.666666667,0,0,1,0.666666667,0.4,0.4,0.72335794,0.27664206
11/4/2019,PHI,109,PHO,114,1,0.37745098,0.573529412,0.387692308,0.553921569,0.911764706,0.58,0.231707317,0.62195122,1,0,0.666666667,1,0,0,0.666666667,1,0.4,0.4,0.604220899,0.395779101
11/4/2019,POR,118,GSW,127,1,0.029411765,0.220588235,0.038461538,0.348039216,0.044117647,0.391282051,0.695121951,0.646341463,1,0,0.166666667,0.5,0,0,0,0.75,0.6,0.6,0.285751797,0.714248203
11/5/2019,IND,120,CHO,122,1,0.06372549,0,0.057948718,0.544117647,0.338235294,0.533846154,0.475609756,0.585365854,1,0,0.5,0.5,0,0,0.5,0.333333333,0.6,0.6,0.760703846,0.239296154
11/5/2019,BOS,119,CLE,113,0,0,0.441176471,0,0.774509804,0.485294118,0.753333333,0.231707317,0.597560976,1,0,0.333333333,0.8,0,0,0.666666667,0.5,0.4,0.4,0.901194555,0.098805445
11/5/2019,SAS,100,ATL,108,1,0.024509804,0.044117647,0.036410256,0.37254902,0.676470588,0.404102564,0.353658537,0.585365854,1,0,0.4,0.666666667,0,0,0.333333333,0.5,0.4,0.4,0.644864692,0.355135308
11/5/2019,LAL,118,CHI,112,0,0.284313725,0.205882353,0.258461538,0.794117647,0.647058824,0.831282051,0.268292683,0.451219512,1,0,0.285714286,0.833333333,0,0,0.5,0.666666667,0.4,0.4,0.888167587,0.111832413
11/5/2019,ORL,94,OKC,102,1,0.56372549,0.397058824,0.587179487,0.362745098,0.602941176,0.381025641,0.597560976,0.512195122,1,0,0.333333333,0.333333333,0,0,0.5,0,0.6,0.6,0.220802572,0.779197428
11/5/2019,MIA,89,DEN,109,1,0.62745098,0.397058824,0.637948718,0.602941176,0.764705882,0.595897436,0.658536585,0.475609756,1,0,0.666666667,0.833333333,0,0,0.5,0.666666667,0.4,0.4,0.310026235,0.689973765
